module.exports = `Equipment Type,Star,Rarity,Manufacturer,Image,Equipment Name,Equipment Description
Trinket,1,Common,Fantastic Fauna Trinkets,Elecule_Broche.png,Elecule Broche,"The Elecule Broche is a popular accessory among those who appreciate the cute and playful nature of Elecules. The broche is made from a special material that can contain the spirit and essence of an Elecule, allowing the wearer to feel the creature's presence and benefit from its electrical energy proficiency. While Elecules may be small and cute, they are also powerful creatures that can unleash a fierce energy when provoked, making the Elecule Broche a symbol of both cuteness and strength. Many people wear the broche as a sign of their appreciation for Elecules and as a reminder to stay true to their own inner strength."
Trinket,1,Common,Eldins Wonder Emporium,Voodoo_Boltman.png,Voodoo Boltman,"The Voodoo Boltman Keychain is a curious and unique item that is said to be infused with the power of voodoo magic. It is made out of bolts and nuts, giving it a distinctive and quirky appearance. Some believe that the Voodoo Boltman Keychain has the power to bring about small, positive changes in one's life through the use of voodoo magic. However, it is important to use caution when handling the keychain, as the power of voodoo magic is not to be trifled with."
Trinket,1,Common,Nova Boutique,Vintage_Pocket_Watch.png,Vintage Pocket Watch,"The Vintage Pocket Watch is a classic and timeless piece sold by Nova Boutique. It is made with a simple yet elegant design, featuring a yellowish case and a clear glass cover to showcase the intricate inner workings of the watch. The watch also has a yellow clasp to keep the glass cover in place. Despite its vintage appearance, the watch is equipped with modern technology and is highly accurate in telling time. It is a popular choice among those who appreciate the history and beauty of traditional timepieces."
Trinket,1,Common,Orbinors Feather Shop,Adventurer's_Feather.png,Adventurer's Feather,"The Adventurer's Feather is a traditional good luck charm given to Crusader recruits by their parents as a way to wish them well and offer their support as they begin their training. It is made by Orbinors Feather Shop, a shop renowned for its high-quality and magical feathers. Each feather is imbued with a unique energy and is believed to bring good fortune to its owner on their journey as a Crusader."
Trinket,2,Uncommon,Fantastic Fauna Trinkets,Ribbit_Broche.png,Ribbit Broche,"The Ribbit Broche is a popular trinket among those who appreciate the beauty of nature and the creatures that inhabit it. The broche is crafted by the talented artisans at Fantastic Fauna Trinkets, a company known for creating intricate and detailed pieces inspired by the animal kingdom. Many people, including the Hylian Merfolk Clan, value the symboliusm of the frog's adaptability and resilience."
Trinket,2,Uncommon,Orbinors Feather Shop,Arc_Core.png,Arc Core,"The Arc Core Feather is an innovative creation from Orbinors Feather Shop, a shop known for its unique and eclectic selection of feather-based trinkets and accessories. The feather itself is crafted using advanced technology and imbued with an Arc energy core, giving it the ability to harness and channel electrical energy. The Arc Core Feather is typically used as a tool for advanced energy manipulation, allowing the user to access and control the energy within it to perform a variety of tasks and feats."
Trinket,2,Uncommon,Fantastic Fauna Trinkets,Rushmoom_Man.png,Rushmoom Man,"The Rushmoom Man keychain is an item sold by Fantastic Fauna Trinkets. It is a popular choice among individuals who appreciate the peaceful and nurturing nature of Rushmoom Men. The keychain is imbued with the spirit of a Rushmoom Man, bringing a sense of calm and tranquility to those who carry it with them. Despite being fairly common, the keychain is still highly sought after for its unique design and connection to the peaceful creatures from which it is inspired."
Trinket,2,Uncommon,Nova Boutique,Froggo.png,Froggo,"The Froggo Pocket Watch is a cute, fun, and fashionable accessory sold by Nova Boutique. Its unique design, featuring a green frog shape, adds a touch of whimsy to any outfit. Despite its playful appearance, the Froggo Pocket Watch is a reliable timekeeping device that can be used for everyday use."
Trinket,3,Rare,Fantastic Fauna Trinkets,Azurite_Dragonfly.png,Azurite Dragonfly,"The Azurite Dragonflies are a beautiful species of dragonflies that are native to the lush and vibrant forests of the continent of Elvoria. They are known for their shimmering light blue exoskeletons and delicate, transparent wings, which give them a mesmerizing appearance as they gracefully flit from flower to flower. The Azurite Dragonfly Broche is a popular item among the citizens of Elvoria, and is made using a rare and fragile process that involves capturing the essence of an actual Azurite Dragonfly and encasing it within the broche, ensuring that the wearer will always be surrounded by the beauty and magic of these majestic creatures."
Trinket,3,Rare,Orbinors Feather Shop,Astral_Flame.png,Astral Flame,"The Astral Flame Feather is an incredibly rare item, only produced by the skilled craftsmen at Orbinors Feather Shop. It is said to possess a small portion of the power and energy of the astral creature from which the flame was extracted. Many believe that the feather has the ability to enhance the magical abilities of those who possess it, and as such, it is highly coveted and expeensive. However, the process of obtaining the flame is not without its dangers, as astral creatures are known to be powerful and elusive beings. Those who are able to obtain an Astral Flame Feather are said to be incredibly lucky and favored by the spirits."
Trinket,3,Rare,Luxe Luminary,Turquoise_Turtle_Watch.png,Turquoise Turtle Watch,"The Turquoise Turtle Watch is a highly coveted and rare item, prized for its unique design and precious materials. It is sold exclusively by Luxe Luminary, a prestigious and exclusive jewelry store catering to the wealthy and elite. The watch is crafted using carefully selected pieces of turquoise quartz, expertly carved and polished to create the intricate turtle shape. The watch is believed to bring longevity and good health to the wearer and many collectors and enthusiasts are willing to pay exorbitant amounts to get their hands on one of these luxurious timepieces."
Trinket,3,Rare,Eldins Wonder Emporium,Planet_Aelestis.png,Planet Aelestis,"The Planet Aelestis Keychain is a symbol of hope and home for those who have lost theirs. It is a reminder of the resilience and strength of the mortal spirit, and serves as a tribute to the fallen world of Aelestis and its people. The keychain is a highly sought after and precious item in Lunar Capital, as it is imbued with the memories and love Aruna has for her home world, and is intricately crafted by Elara Eldin to bring those memories and love into the hearts of all that wear it."
Jewelry,1,Common,Cosmic Order,Recruits_Data.png,Recruits Data,The Recruit Data Necklace is a key piece of equipment for all new Crusader recruits. It stores important information and serves as identification for the recruit as they begin their training. The necklace is issued to recruits upon their acceptance into the Crusader program and is worn as a symbol of their commitment to protecting the mortals of the world and striving for divinity.
Jewelry,1,Common,Eldins Wonder Emporium,Sablitte_Wisp.png,Sablitte Wisp,"The Sablitte Wisp Earrings are a popular and affordable piece of jewelry that is prized for its connection to the friendly and loyal Sablitte creatures. The earrings are believed to be imbued with the spirits of Sablittes, Sables that are young or do not have magical abilities. While lacking in magical abilities, many people wear them as a way to symbolize their own close relationships and to bring good luck and joy into their lives."
Jewelry,1,Common,Mahgnal Tribe,Tribal_Energy_Bracelet.png,Tribal Energy Bracelet,"The Mahgnal Tribe is known for their strong connection to nature and their simple, rustic way of life. The Tribal Energy Bracelet is a common gift through generations within the clan, as it allows novice energy users to better control their abilities and avoid draining their energy unnecessarily. The ring is made from natural materials found in the wilderness and is imbued with the clan's ancient, spiritual energy. It is traditionally given to young members of the clan who have completed their training and proven their commitment to the tribe's way of life."
Jewelry,1,Common,Mahgnal Tribe,Tribal_Energy_Ring.png,Tribal Energy Ring,"The Tribal Energy Ring is a common gift through generations among members of the Mahgnal Tribe. It is traditionally given to those who have completed their energy training and are ready to take on more advanced tasks. The ring is imbued with ancient tribal magic that helps the wearer focus and concentrate their energy more effectively, allowing them to harness their power with greater precision and control. The ring is often passed down through the generations, and is considered a symbol of the tribe's strength and unity."
Jewelry,2,Uncommon,Tempest Clan,Crimson_Tempest.png,Crimson Tempest,"The Crimson Tempest Earrings are a symbol of honor and bravery within the Tempest werefolk clan. They are bestowed upon warriors who have shown exemplary service in battle, and are considered a high honor within the clan. The large, thick, green hoops are adorned with a red gemstone, symbolizing the bloodshed and sacrifice of battle. The earrings are passed down from generation to generation, and are a highly coveted possession within the clan."
Jewelry,2,Uncommon,Nova Boutique,Nova_Boutique_Bracelet.png,Nova Boutique Bracelet,"The Nova Boutique Bracelet is a fashionable and affordable piece of jewelry from the popular store, Nova Boutique. Featuring two green beads, a fabric band, and metal ring, this bracelet is perfect for adding a touch of color and style to any outfit. The unique cut-off design adds a touch of edge and personality to the piece. The bracelet is a popular choice among those looking for affordable yet stylish accessories."
Jewelry,2,Uncommon,Quake Clan,Quake_Oath.png,Quake Oath,"The Quake Oath Ring is a treasured heirloom of the Quake werefolk clan. It is traditionally given to those who make an official Oath in the name of the clan, such as a vow of loyalty or a promise of service. The ring features a unique goldish green pattern that swirls towards the center, connecting to two small gems. The inscription of the Oath is etched onto the inside of the band, making it a deeply personal and meaningful piece of jewelry."
Jewelry,2,Uncommon,Cosmic Order,Castel_Insignia.png,Castel Insignia,"The Castel Insignia Necklace is a prestigious and coveted item awarded to the victors of the annual Castel Coliseum fighting tournament. The unique shaped pendant features a green gem in the bottom semi circle, and is hung from a bronze/fabric chain. It is a highly sought-after prize among fighters from all over the world, who compete in the tournament for the chance to earn the necklace and earn the respect and admiration of their peers. The necklace is considered a symbol of victory and is worn with pride by those who have earned it."
